YEAR,dis,men,women
2008,has_dis,35.38,31.52
2008,no_dis,11.49,13.81
2009,has_dis,37.39,36.84
2009,no_dis,13.51,14.5
2010,has_dis,36.91,37.94
2010,no_dis,13.97,14.62
2011,has_dis,41.34,36.29
2011,no_dis,12.57,14.42
2012,has_dis,39.83,36.65
2012,no_dis,11.96,13.91
2013,has_dis,40.31,39.48
2013,no_dis,12.82,14.72
2014,has_dis,38.8,37.66
2014,no_dis,11.92,13.94
2015,has_dis,38.14,36.49
2015,no_dis,10.99,13.05
2016,has_dis,36.59,38.7
2016,no_dis,10.61,12.02
2017,has_dis,37.04,33.96
2017,no_dis,9.64,11.2
2018,has_dis,36.58,31.5
2018,no_dis,9.74,11.41
2019,has_dis,35.58,35.43
2019,no_dis,9.56,10.72
2020,has_dis,38.56,33.53
2020,no_dis,13.13,13.89
2021,has_dis,36.2,36.0
2021,no_dis,11.73,12.38
2022,has_dis,34.45,32.37
2022,no_dis,10.48,11.8
2023,has_dis,33.08,29.4
2023,no_dis,10.35,11.24
2024,has_dis,35.38,30.63
2024,no_dis,10.57,11.55
